,Unnamed: 0,No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Fasum Rusak,year,month,Freq Kejadian
105,105,2715,6102,2018-01-06,BANJIR,,BENGKAYANG,KALIMANTAN BARAT,-,,0.0,1.0,0.0,0,3,2018,1,
106,106,2848,6103,2017-11-28,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,1,2017,11,
107,107,2870,6172,2017-11-24,BANJIR,,KOTA SINGKAWANG,KALIMANTAN BARAT,-,,1.0,0.0,0.0,0,0,2017,11,
108,108,2935,6103,2017-11-02,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,3,2017,11,
109,109,2958,6103,2017-10-14,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,1,2017,10,
110,110,2959,6103,2017-10-13,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,1,2017,10,
111,111,2961,6103,2017-10-12,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,1,2017,10,
112,112,2963,6103,2017-10-12,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,0,2017,10,
113,113,2982,6103,2017-10-04,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,0,2017,10,
114,114,2983,6103,2017-10-03,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,1,2017,10,
115,115,3004,6103,2017-09-17,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,1,1,2017,9,
116,116,3010,6107,2017-09-14,BANJIR,,SINTANG,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,1,2017,9,
117,117,3018,6103,2017-09-04,BANJIR,,LANDAK,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,0,2017,9,
118,118,3022,6107,2017-08-31,BANJIR,,SINTANG,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,0,2017,8,
119,119,3031,6106,2017-08-24,BANJIR,,KETAPANG,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,0,2017,8,
120,120,3080,6106,2017-07-15,BANJIR,,KETAPANG,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,0,2017,7,
121,121,3164,6111,2017-06-02,BANJIR,,KAYONG UTARA,KALIMANTAN BARAT,-,,0.0,0.0,0.0,0,0,2017,6,
